sample_id	verdict	label_vcf	bam_dn	bam_dt	bam_rt	set_number
PRJNA298376_3948	WARN	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/runs/label_qc/cohort66_apply/cleaned_vcf/PRJNA298376_3948.bgz.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_3948/preprocessing/mapped/PRJNA298376_3948DN/PRJNA298376_3948DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_3948/preprocessing/mapped/PRJNA298376_3948DT/PRJNA298376_3948DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_3948/preprocessing/mapped/PRJNA298376_3948RT/PRJNA298376_3948RT.bam	3
PRJNA298376_3971	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_3971/rescue/PRJNA298376_3971DT_vs_PRJNA298376_3971DN_rescued_PRJNA298376_3971RT_realign_vs_PRJNA298376_3971DN/PRJNA298376_3971DT_vs_PRJNA298376_3971DN_rescued_PRJNA298376_3971RT_realign_vs_PRJNA298376_3971DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_3971/preprocessing/mapped/PRJNA298376_3971DN/PRJNA298376_3971DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_3971/preprocessing/mapped/PRJNA298376_3971DT/PRJNA298376_3971DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_3971/preprocessing/mapped/PRJNA298376_3971RT/PRJNA298376_3971RT.bam	2
PRJNA298376_3978	WARN	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/runs/label_qc/cohort66_apply/cleaned_vcf/PRJNA298376_3978.bgz.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_3978/preprocessing/mapped/PRJNA298376_3978DN/PRJNA298376_3978DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_3978/preprocessing/mapped/PRJNA298376_3978DT/PRJNA298376_3978DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_3978/preprocessing/mapped/PRJNA298376_3978RT/PRJNA298376_3978RT.bam	3
PRJNA298376_3995	WARN	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/runs/label_qc/cohort66_apply/cleaned_vcf/PRJNA298376_3995.bgz.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_3995/preprocessing/mapped/PRJNA298376_3995DN/PRJNA298376_3995DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_3995/preprocessing/mapped/PRJNA298376_3995DT/PRJNA298376_3995DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_3995/preprocessing/mapped/PRJNA298376_3995RT/PRJNA298376_3995RT.bam	2
PRJNA298376_4007	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4007/rescue/PRJNA298376_4007DT_vs_PRJNA298376_4007DN_rescued_PRJNA298376_4007RT_realign_vs_PRJNA298376_4007DN/PRJNA298376_4007DT_vs_PRJNA298376_4007DN_rescued_PRJNA298376_4007RT_realign_vs_PRJNA298376_4007DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4007/preprocessing/mapped/PRJNA298376_4007DN/PRJNA298376_4007DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4007/preprocessing/mapped/PRJNA298376_4007DT/PRJNA298376_4007DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4007/preprocessing/mapped/PRJNA298376_4007RT/PRJNA298376_4007RT.bam	2
PRJNA298376_4060	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4060/rescue/4060DT_vs_4060DN_rescued_4060RT_realign_vs_4060DN/4060DT_vs_4060DN_rescued_4060RT_realign_vs_4060DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/zhanlingmin/Rnadnavar/output/4060_rnadnavar/preprocessing/mapped/4060DN/4060DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/zhanlingmin/Rnadnavar/output/4060_rnadnavar/preprocessing/mapped/4060DT/4060DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/zhanlingmin/Rnadnavar/output/4060_rnadnavar/preprocessing/mapped/4060RT/4060RT.bam	1
PRJNA298376_4069	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4069/rescue/PRJNA298376_4069DT_vs_PRJNA298376_4069DN_rescued_PRJNA298376_4069RT_realign_vs_PRJNA298376_4069DN/PRJNA298376_4069DT_vs_PRJNA298376_4069DN_rescued_PRJNA298376_4069RT_realign_vs_PRJNA298376_4069DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4069/preprocessing/mapped/PRJNA298376_4069DN/PRJNA298376_4069DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4069/preprocessing/mapped/PRJNA298376_4069DT/PRJNA298376_4069DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4069/preprocessing/mapped/PRJNA298376_4069RT/PRJNA298376_4069RT.bam	4
PRJNA298376_4071	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4071/rescue/PRJNA298376_4071DT_vs_PRJNA298376_4071DN_rescued_PRJNA298376_4071RT_realign_vs_PRJNA298376_4071DN/PRJNA298376_4071DT_vs_PRJNA298376_4071DN_rescued_PRJNA298376_4071RT_realign_vs_PRJNA298376_4071DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4071/preprocessing/mapped/PRJNA298376_4071DN/PRJNA298376_4071DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4071/preprocessing/mapped/PRJNA298376_4071DT/PRJNA298376_4071DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4071/preprocessing/mapped/PRJNA298376_4071RT/PRJNA298376_4071RT.bam	2
PRJNA298376_4072	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4072/rescue/4072DT_vs_4072DN_rescued_4072RT_realign_vs_4072DN/4072DT_vs_4072DN_rescued_4072RT_realign_vs_4072DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/zhanlingmin/Rnadnavar/output/4072_rnadnavar/preprocessing/mapped/4072DN/4072DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/zhanlingmin/Rnadnavar/output/4072_rnadnavar/preprocessing/mapped/4072DT/4072DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/zhanlingmin/Rnadnavar/output/4072_rnadnavar/preprocessing/mapped/4072RT/4072RT.bam	1
PRJNA298376_4077	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4077/rescue/PRJNA298376_4077DT_vs_PRJNA298376_4077DN_rescued_PRJNA298376_4077RT_realign_vs_PRJNA298376_4077DN/PRJNA298376_4077DT_vs_PRJNA298376_4077DN_rescued_PRJNA298376_4077RT_realign_vs_PRJNA298376_4077DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4077/preprocessing/mapped/PRJNA298376_4077DN/PRJNA298376_4077DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4077/preprocessing/mapped/PRJNA298376_4077DT/PRJNA298376_4077DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4077/preprocessing/mapped/PRJNA298376_4077RT/PRJNA298376_4077RT.bam	3
PRJNA298376_4081	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4081/rescue/4081DT_vs_4081DN_rescued_4081RT_realign_vs_4081DN/4081DT_vs_4081DN_rescued_4081RT_realign_vs_4081DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/zhanlingmin/Rnadnavar/output/4081_rnadnavar/preprocessing/mapped/4081DN/4081DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/zhanlingmin/Rnadnavar/output/4081_rnadnavar/preprocessing/mapped/4081DT/4081DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/zhanlingmin/Rnadnavar/output/4081_rnadnavar/preprocessing/mapped/4081RT/4081RT.bam	1
PRJNA298376_4090	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4090/rescue/PRJNA298376_4090DT_vs_PRJNA298376_4090DN_rescued_PRJNA298376_4090RT_realign_vs_PRJNA298376_4090DN/PRJNA298376_4090DT_vs_PRJNA298376_4090DN_rescued_PRJNA298376_4090RT_realign_vs_PRJNA298376_4090DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4090/preprocessing/mapped/PRJNA298376_4090DN/PRJNA298376_4090DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4090/preprocessing/mapped/PRJNA298376_4090DT/PRJNA298376_4090DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4090/preprocessing/mapped/PRJNA298376_4090RT/PRJNA298376_4090RT.bam	2
PRJNA298376_4095	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4095/rescue/4095DT_vs_4095DN_rescued_4095RT_realign_vs_4095DN/4095DT_vs_4095DN_rescued_4095RT_realign_vs_4095DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/zhanlingmin/Rnadnavar/output/4095_rnadnavar/preprocessing/mapped/4095DN/4095DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/zhanlingmin/Rnadnavar/output/4095_rnadnavar/preprocessing/mapped/4095DT/4095DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/zhanlingmin/Rnadnavar/output/4095_rnadnavar/preprocessing/mapped/4095RT/4095RT.bam	1
PRJNA298376_4110	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4110/rescue/PRJNA298376_4110DT_vs_PRJNA298376_4110DN_rescued_PRJNA298376_4110RT_realign_vs_PRJNA298376_4110DN/PRJNA298376_4110DT_vs_PRJNA298376_4110DN_rescued_PRJNA298376_4110RT_realign_vs_PRJNA298376_4110DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4110/preprocessing/mapped/PRJNA298376_4110DN/PRJNA298376_4110DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4110/preprocessing/mapped/PRJNA298376_4110DT/PRJNA298376_4110DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4110/preprocessing/mapped/PRJNA298376_4110RT/PRJNA298376_4110RT.bam	3
PRJNA298376_4112	WARN	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/runs/label_qc/cohort66_apply/cleaned_vcf/PRJNA298376_4112.bgz.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4112/preprocessing/mapped/PRJNA298376_4112DN/PRJNA298376_4112DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4112/preprocessing/mapped/PRJNA298376_4112DT/PRJNA298376_4112DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4112/preprocessing/mapped/PRJNA298376_4112RT/PRJNA298376_4112RT.bam	3
PRJNA298376_4115	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4115/rescue/PRJNA298376_4115DT_vs_PRJNA298376_4115DN_rescued_PRJNA298376_4115RT_realign_vs_PRJNA298376_4115DN/PRJNA298376_4115DT_vs_PRJNA298376_4115DN_rescued_PRJNA298376_4115RT_realign_vs_PRJNA298376_4115DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4115/preprocessing/mapped/PRJNA298376_4115DN/PRJNA298376_4115DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4115/preprocessing/mapped/PRJNA298376_4115DT/PRJNA298376_4115DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4115/preprocessing/mapped/PRJNA298376_4115RT/PRJNA298376_4115RT.bam	2
PRJNA298376_4145	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4145/rescue/PRJNA298376_4145DT_vs_PRJNA298376_4145DN_rescued_PRJNA298376_4145RT_realign_vs_PRJNA298376_4145DN/PRJNA298376_4145DT_vs_PRJNA298376_4145DN_rescued_PRJNA298376_4145RT_realign_vs_PRJNA298376_4145DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4145/preprocessing/mapped/PRJNA298376_4145DN/PRJNA298376_4145DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4145/preprocessing/mapped/PRJNA298376_4145DT/PRJNA298376_4145DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4145/preprocessing/mapped/PRJNA298376_4145RT/PRJNA298376_4145RT.bam	4
PRJNA298376_4151	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4151/rescue/PRJNA298376_4151DT_vs_PRJNA298376_4151DN_rescued_PRJNA298376_4151RT_realign_vs_PRJNA298376_4151DN/PRJNA298376_4151DT_vs_PRJNA298376_4151DN_rescued_PRJNA298376_4151RT_realign_vs_PRJNA298376_4151DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4151/preprocessing/mapped/PRJNA298376_4151DN/PRJNA298376_4151DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4151/preprocessing/mapped/PRJNA298376_4151DT/PRJNA298376_4151DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4151/preprocessing/mapped/PRJNA298376_4151RT/PRJNA298376_4151RT.bam	2
PRJNA298376_4160	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4160/rescue/PRJNA298376_4160DT_vs_PRJNA298376_4160DN_rescued_PRJNA298376_4160RT_realign_vs_PRJNA298376_4160DN/PRJNA298376_4160DT_vs_PRJNA298376_4160DN_rescued_PRJNA298376_4160RT_realign_vs_PRJNA298376_4160DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4160/preprocessing/mapped/PRJNA298376_4160DN/PRJNA298376_4160DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4160/preprocessing/mapped/PRJNA298376_4160DT/PRJNA298376_4160DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/xuzhenyu/work/seq2neo/output/PRJNA298376_4160/preprocessing/mapped/PRJNA298376_4160RT/PRJNA298376_4160RT.bam	2
PRJNA298376_4166	PASS	/t9k/mnt/hdd/work/Vax/pipeline/rnadnavar/examples/seq2neo/output_reconsensus/PRJNA298376_4166/rescue/PRJNA298376_4166DT_vs_PRJNA298376_4166DN_rescued_PRJNA298376_4166RT_realign_vs_PRJNA298376_4166DN/PRJNA298376_4166DT_vs_PRJNA298376_4166DN_rescued_PRJNA298376_4166RT_realign_vs_PRJNA298376_4166DN.filtered.vcf.stripped.vcf.gz	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4166/preprocessing/mapped/PRJNA298376_4166DN/PRJNA298376_4166DN.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4166/preprocessing/mapped/PRJNA298376_4166DT/PRJNA298376_4166DT.sorted.bam	/t9k/mnt/WorkSpace/data/ngs/liuxin/seq2neo/output_1/PRJNA298376_4166/preprocessing/mapped/PRJNA298376_4166RT/PRJNA298376_4166RT.bam	4
